frame,cog_tiles,veg_tiles,pct_cogongrass
DJI_20260606122237_0079_D,0,48,0.0
DJI_20260606122240_0081_D,0,48,0.0
DJI_20260606131543_0486_D,0,32,0.0
DJI_20260606131607_0488_D,0,48,0.0
DJI_20260606131610_0489_D,0,48,0.0
DJI_20260606131613_0490_D,0,48,0.0
DJI_20260606131615_0491_D,0,48,0.0
DJI_20260606131618_0492_D,0,48,0.0
DJI_20260606131629_0493_D,0,46,0.0
DJI_20260606131631_0494_D,0,43,0.0
DJI_20260606131641_0495_D,0,48,0.0
DJI_20260606131646_0496_D,0,48,0.0
DJI_20260606131730_0497_D,0,48,0.0
DJI_20260606131733_0498_D,0,48,0.0
DJI_20260606131755_0501_D,0,48,0.0
DJI_20260606131757_0502_D,0,48,0.0
DJI_20260606131800_0503_D,0,48,0.0
DJI_20260606131805_0504_D,0,48,0.0
DJI_20260606131808_0505_D,0,48,0.0
DJI_20260606131816_0508_D,0,48,0.0
DJI_20260606131818_0509_D,0,48,0.0
DJI_20260606131820_0510_D,0,48,0.0
DJI_20260606131822_0511_D,0,48,0.0
DJI_20260606131825_0512_D,0,48,0.0
DJI_20260606131827_0513_D,0,48,0.0
DJI_20260606131830_0514_D,0,48,0.0
DJI_20260606131833_0515_D,0,48,0.0
DJI_20260606131837_0516_D,0,48,0.0
DJI_20260606131840_0517_D,0,48,0.0
DJI_20260606131842_0518_D,0,48,0.0
DJI_20260606131846_0519_D,0,48,0.0
DJI_20260606131848_0520_D,0,48,0.0
DJI_20260606131917_0521_D,0,48,0.0
DJI_20260606131920_0522_D,0,48,0.0
DJI_20260606131931_0523_D,0,48,0.0
DJI_20260606131934_0524_D,0,48,0.0
DJI_20260606131936_0525_D,0,48,0.0
DJI_20260606131942_0526_D,0,46,0.0
DJI_20260606131947_0527_D,0,48,0.0
DJI_20260606131954_0528_D,0,43,0.0
DJI_20260606133413_0534_D,0,40,0.0
DJI_20260606133419_0536_D,0,40,0.0
DJI_20260606133422_0537_D,0,39,0.0
DJI_20260606133425_0538_D,0,40,0.0
DJI_20260606133428_0539_D,0,40,0.0
DJI_20260606133432_0540_D,0,40,0.0
DJI_20260606133434_0541_D,0,40,0.0
DJI_20260606133438_0542_D,0,40,0.0
DJI_20260606133442_0543_D,0,38,0.0
DJI_20260606133445_0544_D,0,38,0.0
DJI_20260606133450_0546_D,0,40,0.0
DJI_20260606133457_0547_D,0,40,0.0
DJI_20260606133459_0548_D,0,40,0.0
DJI_20260606133501_0549_D,0,43,0.0
DJI_20260606133503_0550_D,0,48,0.0
DJI_20260606133515_0551_D,0,48,0.0
DJI_20260606133518_0552_D,0,48,0.0
DJI_20260606133524_0553_D,0,48,0.0
DJI_20260606133527_0554_D,0,48,0.0
DJI_20260606133531_0555_D,0,48,0.0
DJI_20260606133535_0556_D,0,48,0.0
DJI_20260606133538_0557_D,0,48,0.0
DJI_20260606133542_0558_D,0,48,0.0
DJI_20260606133546_0559_D,0,48,0.0
DJI_20260606133549_0560_D,0,48,0.0
DJI_20260606133553_0561_D,0,48,0.0
DJI_20260606133556_0562_D,0,48,0.0
DJI_20260606133559_0563_D,0,48,0.0
DJI_20260606133602_0564_D,0,48,0.0
DJI_20260606133604_0565_D,0,48,0.0
DJI_20260606133607_0566_D,0,48,0.0
DJI_20260606133610_0567_D,0,48,0.0
DJI_20260606133617_0569_D,0,48,0.0
DJI_20260606133620_0570_D,0,48,0.0
DJI_20260606133623_0571_D,0,48,0.0
DJI_20260606133626_0572_D,0,46,0.0
DJI_20260606133629_0573_D,0,46,0.0
DJI_20260606133634_0574_D,0,47,0.0
DJI_20260606133636_0575_D,0,47,0.0
DJI_20260606133639_0576_D,0,48,0.0
DJI_20260606133642_0577_D,0,48,0.0
DJI_20260606133644_0578_D,0,48,0.0
DJI_20260606133646_0579_D,0,48,0.0
DJI_20260606133649_0580_D,0,48,0.0
DJI_20260606133652_0581_D,0,48,0.0
DJI_20260606133655_0582_D,0,48,0.0
DJI_20260606133657_0583_D,0,48,0.0
DJI_20260606133700_0584_D,0,48,0.0
DJI_20260606133702_0585_D,0,48,0.0
DJI_20260606133715_0587_D,0,48,0.0
DJI_20260606133718_0588_D,0,48,0.0
DJI_20260606133720_0589_D,0,48,0.0
DJI_20260606133723_0590_D,0,48,0.0
DJI_20260606133726_0591_D,0,48,0.0
DJI_20260606133731_0593_D,0,48,0.0
DJI_20260606133733_0594_D,0,48,0.0
DJI_20260606133735_0595_D,0,48,0.0
DJI_20260606133737_0596_D,0,48,0.0
DJI_20260606133740_0597_D,0,48,0.0
DJI_20260606133742_0598_D,0,48,0.0
DJI_20260606133745_0599_D,0,48,0.0
DJI_20260606133747_0600_D,0,48,0.0
DJI_20260606133750_0601_D,0,48,0.0
DJI_20260606133754_0602_D,0,48,0.0
DJI_20260606133756_0603_D,0,48,0.0
DJI_20260606133759_0604_D,0,48,0.0
DJI_20260606133802_0605_D,0,48,0.0
DJI_20260606133804_0606_D,0,48,0.0
DJI_20260606133806_0607_D,0,48,0.0
DJI_20260606133808_0608_D,0,48,0.0
DJI_20260606133809_0609_D,0,48,0.0
DJI_20260606133820_0610_D,0,47,0.0
DJI_20260606133823_0611_D,0,47,0.0
DJI_20260606133826_0612_D,0,47,0.0
DJI_20260606133829_0613_D,0,48,0.0
DJI_20260606133835_0614_D,0,48,0.0
DJI_20260606133840_0615_D,0,48,0.0
DJI_20260606133843_0616_D,0,48,0.0
DJI_20260606133846_0617_D,0,48,0.0
DJI_20260606133848_0618_D,0,48,0.0
DJI_20260606133850_0619_D,0,48,0.0
DJI_20260606133853_0620_D,0,48,0.0
DJI_20260606133856_0621_D,0,48,0.0
DJI_20260606133859_0622_D,0,40,0.0
DJI_20260606133901_0623_D,0,48,0.0
DJI_20260606133903_0624_D,0,48,0.0
DJI_20260606133906_0625_D,0,48,0.0
DJI_20260606133908_0626_D,0,48,0.0
DJI_20260606133911_0627_D,0,48,0.0
DJI_20260606133913_0628_D,0,47,0.0
DJI_20260606133915_0629_D,0,47,0.0
DJI_20260606133918_0630_D,0,45,0.0
DJI_20260606133920_0631_D,0,40,0.0
DJI_20260606133922_0632_D,0,40,0.0
DJI_20260606133924_0633_D,0,40,0.0
DJI_20260606133926_0634_D,0,40,0.0
DJI_20260606133928_0635_D,0,40,0.0
DJI_20260606133930_0636_D,0,40,0.0
DJI_20260606133932_0637_D,0,40,0.0
DJI_20260606133934_0638_D,0,40,0.0
DJI_20260606133936_0639_D,0,40,0.0
DJI_20260606133938_0640_D,0,40,0.0
DJI_20260606133940_0641_D,0,40,0.0
DJI_20260606133944_0642_D,0,40,0.0
DJI_20260606133946_0643_D,0,40,0.0
DJI_20260606133949_0644_D,0,40,0.0
DJI_20260606133951_0645_D,0,40,0.0
DJI_20260606133954_0646_D,0,40,0.0
DJI_20260606133956_0647_D,0,40,0.0
DJI_20260606133959_0648_D,0,40,0.0
DJI_20260606134001_0649_D,0,42,0.0
DJI_20260606134004_0650_D,0,43,0.0
DJI_20260606134006_0651_D,0,45,0.0
DJI_20260606134018_0652_D,0,32,0.0
DJI_20260606134027_0653_D,0,48,0.0
DJI_20260606134029_0654_D,0,48,0.0
DJI_20260606134033_0655_D,0,48,0.0
DJI_20260606134038_0656_D,0,48,0.0
DJI_20260606134040_0657_D,0,48,0.0
DJI_20260606134043_0658_D,0,48,0.0
DJI_20260606134045_0659_D,0,46,0.0
DJI_20260606134046_0660_D,0,45,0.0
DJI_20260606134053_0661_D,0,36,0.0
DJI_20260606134110_0662_D,0,24,0.0
DJI_20260606134133_0663_D,0,48,0.0
DJI_20260606134135_0664_D,0,48,0.0
DJI_20260606134137_0665_D,0,48,0.0
DJI_20260606134139_0666_D,0,48,0.0
DJI_20260606134142_0667_D,0,48,0.0
DJI_20260606134145_0668_D,0,48,0.0
DJI_20260606134147_0669_D,0,48,0.0
DJI_20260606134150_0670_D,0,48,0.0
DJI_20260606134153_0671_D,0,48,0.0
DJI_20260606134156_0672_D,0,48,0.0
DJI_20260606134159_0673_D,0,48,0.0
DJI_20260606134201_0674_D,0,48,0.0
DJI_20260606134204_0675_D,0,48,0.0
DJI_20260606134220_0677_D,0,48,0.0
DJI_20260606134313_0679_D,0,48,0.0
DJI_20260606134316_0680_D,0,48,0.0
DJI_20260606134319_0681_D,0,48,0.0
DJI_20260606134352_0682_D,0,48,0.0
DJI_20260606134356_0683_D,0,48,0.0
DJI_20260606134359_0684_D,0,48,0.0
DJI_20260606134405_0685_D,0,48,0.0
DJI_20260606134407_0686_D,0,48,0.0
DJI_20260606134410_0687_D,0,48,0.0
DJI_20260606134416_0688_D,0,48,0.0
DJI_20260606134429_0689_D,0,48,0.0
DJI_20260606134431_0690_D,0,48,0.0
DJI_20260606134435_0691_D,0,48,0.0
DJI_20260606134437_0692_D,0,48,0.0
DJI_20260606134439_0693_D,0,48,0.0
DJI_20260606134442_0694_D,0,48,0.0
DJI_20260606134444_0695_D,0,48,0.0
DJI_20260606134447_0696_D,0,48,0.0
DJI_20260606134449_0697_D,0,48,0.0
DJI_20260606134452_0698_D,0,48,0.0
DJI_20260606134455_0699_D,0,48,0.0
DJI_20260606134457_0700_D,0,48,0.0
DJI_20260606134500_0701_D,0,48,0.0
DJI_20260606134502_0702_D,0,48,0.0
DJI_20260606134504_0703_D,0,48,0.0
DJI_20260606134505_0704_D,0,48,0.0
DJI_20260606134508_0705_D,0,48,0.0
DJI_20260606134511_0706_D,0,48,0.0
DJI_20260606134514_0707_D,0,48,0.0
DJI_20260606134515_0708_D,0,48,0.0
DJI_20260606134518_0709_D,0,48,0.0
DJI_20260606134521_0710_D,0,48,0.0
DJI_20260606134523_0711_D,0,48,0.0
DJI_20260606134525_0712_D,0,48,0.0
DJI_20260606134526_0713_D,0,48,0.0
DJI_20260606134528_0714_D,0,48,0.0
DJI_20260606134530_0715_D,0,48,0.0
DJI_20260606134533_0716_D,0,48,0.0
